,Player,Span,Matches_Played,Innings_Batted,Not_Outs,Runs_Scored,Highest_Inns_Score,Batting_Average,Balls_Faced,Batting_Strike_Rate,Hundreds_Scored,Fifties_Scored,Ducks_Scored,Boundary_Fours,Boundary_Sixes,Country
64,C Campher ,2023-2023,4,8,0,240,111,30.0,527,45.54,1,1,1,37,3,IRE
65,C Green ,2023-2023,6,10,1,269,114,29.88,577,46.62,1,1,1,35,1,AUS
66,DA Warner ,2023-2023,10,18,0,529,164,29.38,892,59.3,1,1,1,66,5,AUS
67,PSP Handscomb ,2023-2023,4,6,1,145,72,29.0,360,40.27,0,1,1,18,0,AUS
68,HM Nicholls ,2023-2023,7,13,1,348,200,29.0,576,60.41,1,0,0,28,5,NZ
69,T de Zorzi ,2023-2023,2,4,0,114,85,28.5,234,48.71,0,1,1,15,0,SA
70,Zakir Hasan ,2023-2023,3,6,0,168,71,28.0,278,60.43,0,0,0,18,1,BAN
71,PWA Mulder ,2023-2023,1,2,0,54,42,27.0,101,53.46,0,0,0,9,0,SA
72,J Blackwood ,2023-2023,6,11,1,269,79,26.9,475,56.63,0,0,0,35,3,WI
73,JO Holder ,2023-2023,6,9,2,185,81,26.42,351,52.7,0,1,1,19,6,WI
74,Shan Masood ,2023-2023,4,7,0,184,51,26.28,219,84.01,0,0,0,24,2,PAK
75,Tamim Iqbal ,2023-2023,1,2,0,52,31,26.0,101,51.48,0,0,0,5,1,BAN
76,CA Pujara ,2023-2023,5,8,1,181,59,25.85,434,41.7,0,1,1,20,1,IND
77,MM Ali ,2023-2023,4,7,0,180,54,25.71,276,65.21,0,0,0,20,4,ENG
78,SN Thakur ,2023-2023,2,2,0,51,51,25.5,114,44.73,0,1,1,6,0,IND
79,B Mavuta ,2023-2023,2,3,0,73,56,24.33,175,41.71,0,0,0,11,0,ZIM
80,D Elgar ,2023-2023,3,6,0,144,71,24.0,252,57.14,0,0,0,21,0,SA
81,AT Carey ,2023-2023,12,18,1,404,66,23.76,729,55.41,0,2,2,52,4,AUS
82,R Ashwin ,2023-2023,6,6,0,142,56,23.66,263,53.99,0,0,0,18,1,IND
83,RA Reifer ,2023-2023,5,9,0,211,62,23.44,466,45.27,0,1,1,26,1,WI
84,Babar Azam ,2023-2023,4,7,0,162,39,23.14,292,55.47,0,0,0,23,2,PAK
85,DT Tiripano ,2023-2023,1,2,1,23,23,23.0,58,39.65,0,1,1,3,0,ZIM
86,RRS Cornwall ,2023-2023,1,2,1,23,19,23.0,48,47.91,0,0,0,4,0,WI
87,RTM Mendis ,2023-2023,4,4,0,90,42,22.5,205,43.9,0,0,0,9,1,SL
88,SR Harmer ,2023-2023,2,3,0,67,47,22.33,229,29.25,0,0,0,6,0,SA
89,OE Robinson ,2023-2023,5,9,3,133,39,22.16,200,66.5,0,0,0,16,0,ENG
90,MG Bracewell ,2023-2023,5,8,1,155,74,22.14,273,56.77,0,1,1,18,0,NZ
91,Hashmatullah Shahidi ,2023-2023,1,2,1,22,13,22.0,30,73.33,0,0,0,3,0,AFG
92,Mohammed Shami ,2023-2023,4,5,2,65,37,21.66,77,84.41,0,0,0,7,3,IND
93,A Balbirnie ,2023-2023,4,8,0,172,95,21.5,356,48.31,0,1,1,21,0,IRE
94,KA Maharaj ,2023-2023,2,3,0,64,53,21.33,112,57.14,0,0,0,7,1,SA
95,N Wagner ,2023-2023,3,6,3,63,27,21.0,89,70.78,0,0,0,3,5,NZ
96,Afsar Zazai ,2023-2023,1,2,0,42,36,21.0,52,80.76,0,0,0,6,0,AFG
97,MA Wood ,2023-2023,3,5,1,83,28,20.75,64,129.68,0,0,0,9,4,ENG
98,Nasir Jamal ,2023-2023,1,2,0,41,35,20.5,65,63.07,0,0,0,6,0,AFG
99,Karim Janat ,2023-2023,1,2,0,41,23,20.5,65,63.07,0,0,0,2,2,AFG
